Hour,Electricity_Price_$/MWh,Carbon_Intensity_kg_CO2/MWh,Curtailment_Available,Battery_Charge_MW,Battery_Discharge_MW,Battery_SOC_MWh,Load_Jobs_As_Is_MW,Load_Curtailment_Only_MW,Load_Carbon_Aware_MW,Load_Jobs_As_Is_With_Battery_MW,Load_Curtailment_Only_With_Battery_MW,Load_Carbon_Aware_With_Battery_MW
30,30.186347102164824,351.74626155338,0.0,0.0,0.0,0.0,20.0,14.0000000000378,17.60000127545772,20.0,14.0000000000378,17.60000127545772
31,53.700511152609316,276.8880342997032,0.0,0.0,0.0,0.0,20.0,14.000000000007562,19.280000382637315,20.0,14.000000000007562,19.280000382637315
32,42.39202220209653,285.7336208104485,0.0,0.0,0.0,0.0,20.0,14.000000000001513,19.784000114791194,20.0,14.000000000001513,19.784000114791194
33,37.144914286151014,260.7575186130649,0.0,0.0,0.0,0.0,20.0,14.000000000000304,19.935200034437358,20.0,14.000000000000304,19.935200034437358
34,54.57074035359209,252.5877267275925,1.0,20.0,0.0,18.0,20.0,18.80000000000006,19.980560010331207,40.0,34.80000000000006,29.980560010331207
35,39.72213819456785,236.72518761768686,0.0,0.0,0.0,18.0,20.0,14.960000000000013,19.99416800309936,20.0,14.960000000000013,19.99416800309936
36,51.670908760038046,158.66991896128727,1.0,20.0,0.0,36.0,20.0,18.992000000000004,19.99825040092981,40.0,34.992000000000004,29.99825040092981
37,33.81152640329782,176.97637485918608,1.0,20.0,0.0,54.0,20.0,19.7984,19.999475120278944,40.0,35.7984,29.999475120278944
38,37.364892665579134,235.547247448594,0.0,0.0,0.0,54.0,20.0,15.159680000000002,19.999842536083683,20.0,15.159680000000002,19.999842536083683
39,47.1814916047512,259.34756134938414,0.0,0.0,0.0,54.0,20.0,14.231936000000001,19.999952760825103,20.0,14.231936000000001,19.999952760825103
40,48.407732639963285,290.4514305891814,1.0,20.0,0.0,72.0,20.0,18.846387200000002,19.99998582824753,40.0,34.8463872,29.99998582824753
41,40.25323192605757,426.75908795426346,0.0,0.0,20.0,52.0,20.0,14.969277440000003,14.399995748474257,0.0,-1.0307225599999974,4.399995748474257
42,34.07481374089408,367.12671532079503,0.0,0.0,20.0,32.0,20.0,14.193855488000002,12.719998724542275,0.0,-1.8061445119999977,2.7199987245422754
43,28.708884758747878,422.8898259707961,0.0,0.0,20.0,12.0,20.0,14.038771097600002,12.21599961736268,0.0,-1.9612289023999985,2.21599961736268
44,15.671824077060585,453.62005290479607,0.0,0.0,12.0,0.0,20.0,14.007754219520002,12.064799885208803,8.0,4.407754219520001,6.064799885208803
45,18.634644615044124,475.607754717156,0.0,0.0,0.0,0.0,20.0,14.001550843904003,12.01943996556264,20.0,14.001550843904003,12.01943996556264
46,18.324508775555124,470.44573322845537,0.0,0.0,0.0,0.0,20.0,14.000310168780802,12.00583198966879,20.0,14.000310168780802,12.00583198966879
47,28.9680904154153,500.0,0.0,0.0,0.0,0.0,20.0,14.000062033756162,12.001749596900636,20.0,14.000062033756162,12.001749596900636
48,22.74894631654769,476.81524356387285,0.0,0.0,0.0,0.0,20.0,14.000012406751233,12.00052487907019,20.0,14.000012406751233,12.00052487907019
49,6.406791362762103,487.78431574115996,0.0,0.0,0.0,0.0,20.0,14.000002481350247,12.000157463721056,20.0,14.000002481350247,12.000157463721056
50,24.60229069839178,465.3429041327927,0.0,0.0,0.0,0.0,20.0,14.00000049627005,12.000047239116315,20.0,14.00000049627005,12.000047239116315
51,21.312740038871254,458.5222413595718,0.0,0.0,0.0,0.0,20.0,14.000000099254011,12.000014171734893,20.0,14.000000099254011,12.000014171734893
52,22.08462399755233,494.43975700020525,0.0,0.0,0.0,0.0,20.0,14.000000019850804,12.000004251520465,20.0,14.000000019850804,12.000004251520465
