Hour,Electricity_Price_$/MWh,Carbon_Intensity_kg_CO2/MWh,Curtailment_Available_MW,Curtailment_Raw_MW,Battery_Charge_MW,Battery_Discharge_MW,Load_Jobs_As_Is_MW,Load_Curtailment_Only_MW,Load_Carbon_Aware_MW,Load_Jobs_As_Is_With_Battery_MW,Load_Curtailment_Only_With_Battery_MW,Load_Carbon_Aware_With_Battery_MW
21,40.99899,395.4844739902693,0.0,0.0,0.0,0.0,19.0,14.048599974171966,12.849898525163521,19.0,14.048599974171966,12.849898525163521
22,40.49126,401.35056409375846,0.0,0.0,0.0,0.0,19.0,14.014579992251589,12.339959410065408,19.0,14.014579992251589,12.339959410065408
23,34.34719,371.50503627573084,0.0,0.0,0.0,0.0,19.0,14.004373997675476,16.93598376402616,19.0,14.004373997675476,16.93598376402616
24,32.02888,389.1123455094963,0.0,0.0,0.0,0.0,19.0,14.001312199302642,13.974393505610465,19.0,14.001312199302642,13.974393505610465
25,34.14841,402.21845179419734,0.0,0.0,0.0,0.0,19.0,14.000393659790792,12.789757402244184,19.0,14.000393659790792,12.789757402244184
26,37.874,376.9801284515539,0.0,0.0,0.0,0.0,19.0,14.000118097937236,12.315902960897674,19.0,14.000118097937236,12.315902960897674
27,41.75965,407.51396036691347,0.0,0.0,0.0,0.0,19.0,14.00003542938117,12.12636118435907,19.0,14.00003542938117,12.12636118435907
28,44.46952,387.9872262016239,0.0,0.0,0.0,0.0,19.0,14.00001062881435,12.050544473743628,19.0,14.00001062881435,12.050544473743628
29,54.75739,393.4536247586154,0.16280000308,8.140000154,0.0,0.0,19.0,14.000003188644303,12.020217789497451,19.0,14.000003188644303,12.020217789497451
30,50.69241,372.9736725435775,3.4255839798123677,171.2791989906184,40.0,0.0,19.0,18.200000956593293,16.80808711579898,19.0,6.200000956593293,8.80808711579898
31,40.02288,339.4380888389514,20.0,1115.122226718221,40.0,0.0,19.0,19.460000286977987,18.723234846319592,19.0,7.460000286977987,10.723234846319592
32,19.38321,228.71992993926162,20.0,1953.715043885288,40.0,0.0,19.0,19.838000086093395,19.489293938527837,19.0,7.838000086093395,11.489293938527837
33,14.22533,245.75469304545996,20.0,1520.5068162224454,40.0,0.0,19.0,19.95140002582802,19.795717575411135,19.0,7.951400025828018,11.795717575411135
34,9.12678,305.84497969881426,20.0,1263.6236964654108,17.77777777777778,0.0,19.0,19.985420007748406,19.918287030164453,19.0,14.652086674415074,16.362731474608896
35,2.98837,184.67959361193752,20.0,2180.988429064373,0.0,0.0,19.0,19.99562600232452,19.96731481206578,19.0,19.99562600232452,19.96731481206578
36,3.05957,216.57466317866175,20.0,2143.2768247970025,0.0,0.0,19.0,19.998687800697354,19.986925924826313,19.0,19.998687800697354,19.986925924826313
37,0.10239,191.893147998553,20.0,1929.761447499679,0.0,0.0,19.0,19.999606340209205,19.994770369930524,19.0,19.999606340209205,19.994770369930524
38,1.0,205.15510225025645,20.0,1922.5380109722664,0.0,0.0,19.0,19.99988190206276,19.99790814797221,19.0,19.99988190206276,19.99790814797221
39,7.04919,204.02475545841924,20.0,2283.911536576235,0.0,0.0,19.0,19.99996457061883,19.999163259188883,19.0,19.99996457061883,19.999163259188883
40,26.09794,318.58844675100727,20.0,1098.8240669468207,0.0,0.0,19.0,19.99998937118565,19.999665303675553,19.0,19.99998937118565,19.999665303675553
41,41.11557,400.11905800446493,0.7559190245960365,37.79595122980183,0.0,40.0,19.0,19.999996811355693,15.19986612147022,19.0,22.0,22.0
42,49.8411,397.6870343522352,0.0,0.0,0.0,40.0,19.0,15.799999043406707,13.279946448588088,19.0,22.0,21.27994644858809
43,44.80296,393.4177293455789,0.128,6.4,0.0,40.0,19.0,14.539999713022011,12.511978579435235,19.0,22.0,20.511978579435237
44,40.92099,370.4295601926515,0.0,0.0,0.0,40.0,19.0,14.161999913906602,17.004791431774095,19.0,22.0,22.0
45,40.0,385.6031158321058,0.0,0.0,0.0,0.0,19.0,14.048599974171978,14.001916572709638,19.0,14.048599974171978,14.001916572709638
46,37.52531,390.78722458080426,0.0,0.0,0.0,0.0,19.0,14.014579992251592,12.800766629083855,19.0,14.014579992251592,12.800766629083855
47,32.19765,421.14244452437833,0.0,0.0,0.0,0.0,19.0,14.004373997675476,12.32030665163354,19.0,14.004373997675476,12.32030665163354
48,33.82166,406.87236579136925,0.0,0.0,0.0,0.0,19.0,14.001312199302642,12.128122660653416,19.0,14.001312199302642,12.128122660653416
49,31.91156,364.7391968927453,0.0,0.0,0.0,0.0,19.0,14.000393659790792,16.851249064261367,19.0,14.000393659790792,16.851249064261367
50,34.60851,406.4816793878959,0.0,0.0,0.0,0.0,19.0,14.000118097937236,13.940499625704547,19.0,14.000118097937236,13.940499625704547
51,35.36663,392.2983543916737,0.0,0.0,0.0,0.0,19.0,14.00003542938117,12.776199850281818,19.0,14.00003542938117,12.776199850281818
52,35.6561,386.4615599938808,0.0,0.0,0.0,0.0,19.0,14.00001062881435,12.310479940112728,19.0,14.00001062881435,12.310479940112728
53,46.51921,412.0364940778245,0.04502000021000001,2.2510000105000003,0.0,0.0,19.0,14.000003188644303,12.12419197604509,19.0,14.000003188644303,12.12419197604509
54,37.49299,386.5070677385397,7.794501064956405,389.72505324782026,40.0,0.0,19.0,18.200000956593293,12.049676790418037,19.0,6.200000956593293,4.049676790418037
55,35.03867,321.8030947452889,20.0,1106.15432350051,40.0,0.0,19.0,19.460000286977987,16.819870716167216,19.0,7.460000286977987,8.819870716167216
56,25.75185,263.4157860292115,20.0,1368.660451029424,40.0,0.0,19.0,19.838000086093395,18.727948286466887,19.0,7.838000086093395,10.727948286466887
57,19.0922,204.30329111018406,20.0,2165.0960465782487,40.0,0.0,19.0,19.95140002582802,19.491179314586756,19.0,7.951400025828018,11.491179314586756
58,17.17276,217.46092675432948,20.0,2161.118935280818,17.77777777777778,0.0,19.0,19.985420007748406,19.796471725834703,19.0,14.652086674415074,16.240916170279146
59,12.06111,233.8531484397566,20.0,2121.057721020358,0.0,0.0,19.0,19.99562600232452,19.91858869033388,19.0,19.99562600232452,19.91858869033388
60,13.39329,205.15282752249,20.0,2116.5556869073275,0.0,0.0,19.0,19.998687800697354,19.967435476133552,19.0,19.998687800697354,19.967435476133552
61,9.9937,204.01196819992026,20.0,2196.655140689552,0.0,0.0,19.0,19.999606340209205,19.98697419045342,19.0,19.999606340209205,19.98697419045342
62,9.20054,180.54136314955582,20.0,2254.4301011619577,0.0,0.0,19.0,19.99988190206276,19.99478967618137,19.0,19.99988190206276,19.99478967618137
63,15.23835,203.15457210004593,20.0,1975.5493141053691,0.0,0.0,19.0,19.99996457061883,19.997915870472546,19.0,19.99996457061883,19.997915870472546
64,25.03309,342.65770396384755,16.815306625386633,840.7653312693317,0.0,0.0,19.0,19.99998937118565,19.999166348189018,19.0,19.99998937118565,19.999166348189018
65,41.34048,427.1248005714165,0.0,0.0,0.0,40.0,19.0,15.799996811355694,15.199666539275608,19.0,22.0,22.0
66,52.81279,398.5597975683933,0.0,0.0,0.0,40.0,19.0,14.539999043406706,13.279866615710244,19.0,22.0,21.279866615710244
67,50.08853,420.07065795784047,0.0,0.0,0.0,40.0,19.0,14.16199971302201,12.511946646284098,19.0,22.0,20.5119466462841
68,48.26558,407.23272050095267,0.0,0.0,0.0,40.0,19.0,14.048599913906601,12.20477865851364,19.0,22.0,20.20477865851364
69,41.70635,387.0976049078975,0.0,0.0,0.0,0.0,19.0,14.01457997417198,12.081911463405454,19.0,14.01457997417198,12.081911463405454
70,40.22263,406.8422165478269,0.08812802400000001,4.4064012,0.0,0.0,19.0,14.004373992251594,12.03276458536218,19.0,14.004373992251594,12.03276458536218
71,43.77173,430.76073132931936,0.0,0.0,0.0,0.0,19.0,14.001312197675478,12.013105834144872,19.0,14.001312197675478,12.013105834144872
72,40.00836,399.28347921780096,0.0,0.0,0.0,0.0,19.0,14.000393659302642,12.005242333657948,19.0,14.000393659302642,12.005242333657948
73,37.72937,431.24035467165805,0.012000000000000002,0.6000000000000001,0.0,0.0,19.0,14.000118097790791,12.002096933463179,19.0,14.000118097790791,12.002096933463179
74,37.90458,347.6050979182051,0.0,0.0,0.0,0.0,19.0,14.000035429337236,16.800838773385273,19.0,14.000035429337236,16.800838773385273
75,36.05449,416.43805008750445,0.0,0.0,0.0,0.0,19.0,14.00001062880117,13.920335509354109,19.0,14.00001062880117,13.920335509354109
76,45.60848,401.74094136476344,0.0,0.0,0.0,0.0,19.0,14.000003188640349,12.768134203741642,19.0,14.000003188640349,12.768134203741642
77,50.0,394.01985299068264,0.0,0.0,0.0,0.0,19.0,14.000000956592103,12.307253681496658,19.0,14.000000956592103,12.307253681496658
78,58.8867,374.28243683006815,6.295566191782861,314.778309589143,40.0,0.0,19.0,18.20000028697763,16.922901472598664,19.0,6.20000028697763,8.922901472598664
79,57.29252,297.8512488420645,14.25724771133842,712.862385566921,40.0,0.0,19.0,19.460000086093288,18.769160589039465,19.0,7.460000086093288,10.769160589039465
80,56.8785,306.170977328993,20.0,1021.761998755144,40.0,0.0,19.0,19.838000025827988,19.507664235615785,19.0,7.838000025827988,11.507664235615785
81,55.434,307.1641500526806,20.0,1142.205586212811,40.0,0.0,19.0,19.951400007748397,19.803065694246314,19.0,7.951400007748397,11.803065694246314
82,52.02,333.8842137350425,20.0,1093.0293291997698,17.77777777777778,0.0,19.0,19.985420002324517,19.921226277698526,19.0,14.652086668991185,16.36567072214297
83,51.79014,304.5703229277083,19.43643380582771,971.8216902913856,0.0,0.0,19.0,19.995626000697357,19.96849051107941,19.0,19.995626000697357,19.96849051107941
84,48.77083,287.45562920400164,20.0,1101.0360199925776,0.0,0.0,19.0,19.998687800209208,19.987396204431764,19.0,19.998687800209208,19.987396204431764
85,45.13712,308.9815857415089,18.503961563120736,925.1980781560368,0.0,0.0,19.0,19.999606340062762,19.994958481772706,19.0,19.999606340062762,19.994958481772706
86,43.4701,316.32014629645266,20.0,1165.1666014656132,0.0,0.0,19.0,19.999881902018828,19.99798339270908,19.0,19.999881902018828,19.99798339270908
87,43.32882,280.3766520491239,20.0,1441.7605591965148,0.0,0.0,19.0,19.99996457060565,19.999193357083634,19.0,19.99996457060565,19.999193357083634
88,45.87907,321.8424459206304,15.437399296240685,771.8699648120343,0.0,0.0,19.0,19.999989371181695,19.999677342833454,19.0,19.999989371181695,19.999677342833454
89,44.03081,399.68724444426294,2.417003236282341,120.85016181411704,0.0,40.0,19.0,19.999996811354507,15.199870937133381,19.0,22.0,22.0
90,48.17924,392.0224303958611,2.266431307129459,113.32156535647296,40.0,0.0,19.0,19.99999904340635,13.279948374853351,19.0,7.999999043406351,5.279948374853351
91,50.0,407.17061429440383,2.7881142948685715,139.40571474342858,0.0,40.0,19.0,19.999999713021907,12.51197934994134,19.0,22.0,20.511979349941342
92,46.48967,385.95893812245293,0.0,0.0,0.0,40.0,19.0,15.799999913906571,12.204791739976535,19.0,22.0,20.204791739976535
93,43.53087,393.44675706804463,0.0,0.0,0.0,40.0,19.0,14.53999997417197,12.081916695990614,19.0,22.0,20.081916695990614
94,42.49826,392.1578369373568,0.0,0.0,0.0,36.0,19.0,14.161999992251591,12.032766678396246,19.0,22.0,19.232766678396246
95,36.61631,370.72970103735764,0.0,0.0,0.0,0.0,19.0,14.048599997675476,16.813106671358497,19.0,14.048599997675476,16.813106671358497
96,33.90427,405.92240554129154,0.0,0.0,0.0,0.0,19.0,14.014579999302642,13.925242668543397,19.0,14.014579999302642,13.925242668543397
97,32.4698,405.22110544359776,0.0,0.0,0.0,0.0,19.0,14.004373999790792,12.770097067417359,19.0,14.004373999790792,12.770097067417359
98,32.45781,400.10226913284924,0.0,0.0,0.0,0.0,19.0,14.001312199937235,12.308038826966943,19.0,14.001312199937235,12.308038826966943
99,37.02072,395.3082573324971,0.0,0.0,0.0,0.0,19.0,14.00039365998117,12.123215530786776,19.0,14.00039365998117,12.123215530786776
100,42.47964,371.69258515899173,0.0,0.0,0.0,0.0,19.0,14.00011809799435,16.84928621231471,19.0,14.00011809799435,16.84928621231471
101,49.57394,389.5014953890896,0.47654072864,23.827036432,0.0,0.0,19.0,18.200035429398305,13.939714484925883,19.0,18.200035429398305,13.939714484925883
102,51.86674,381.98040809963703,2.5511726366251786,127.55863183125894,40.0,0.0,19.0,19.46001062881949,12.775885793970353,19.0,7.460010628819489,4.775885793970353
103,48.37109,344.50665516054323,9.01347320673309,450.6736603366545,40.0,0.0,19.0,19.838003188645846,17.11035431758814,19.0,7.838003188645846,9.11035431758814
104,40.56703,337.6290148196418,13.514171192081456,675.7085596040728,40.0,0.0,19.0,19.951400956593755,18.844141727035257,19.0,7.951400956593755,10.844141727035257
105,35.91925,360.18983280233516,10.94271195849543,547.1355979247714,40.0,0.0,19.0,19.985420286978126,19.537656690814103,19.0,7.985420286978126,11.537656690814103
106,33.35777,380.4919367751634,13.076955723475532,653.8477861737766,17.77777777777778,0.0,19.0,19.995626086093438,15.015062676325641,19.0,14.662292752760106,11.459507120770086
107,33.30177,317.5234187712789,19.642958911826607,982.1479455913304,0.0,0.0,19.0,19.998687825828032,18.006025070530256,19.0,19.998687825828032,18.006025070530256
108,24.1761,369.30586366032867,8.190298340800204,409.5149170400102,0.0,0.0,19.0,19.99960634774841,19.202410028212103,19.0,19.99960634774841,19.202410028212103
109,29.56124,344.61056813592404,12.315790523492847,615.7895261746423,0.0,0.0,19.0,19.999881904324525,19.680964011284843,19.0,19.999881904324525,19.680964011284843
110,24.42997,303.3491680118973,13.315415131156374,665.7707565578187,0.0,0.0,19.0,19.999964571297358,19.872385604513937,19.0,19.999964571297358,19.872385604513937
111,27.96416,305.7647731470132,20.0,1070.5375989520146,0.0,0.0,19.0,19.99998937138921,19.948954241805573,19.0,19.99998937138921,19.948954241805573
112,31.5417,347.41761099790796,12.289852128251264,614.4926064125632,0.0,0.0,19.0,19.999996811416764,19.979581696722228,19.0,19.999996811416764,19.979581696722228
113,38.41816,449.26484224970574,0.0,0.0,0.0,40.0,19.0,15.799999043425029,15.19183267868889,19.0,22.0,22.0
114,41.60241,396.15278070437756,0.0,0.0,0.0,40.0,19.0,14.539999713027507,13.276733071475554,19.0,22.0,21.276733071475554
115,41.37703,406.03094684667224,0.0,0.0,0.0,40.0,19.0,14.16199991390825,12.51069322859022,19.0,22.0,20.51069322859022
116,42.31422,399.30576460589515,0.0,0.0,0.0,40.0,19.0,14.048599974172474,12.204277291436089,19.0,22.0,20.20427729143609
117,38.90691,376.62643924760937,0.0,0.0,0.0,0.0,19.0,14.01457999225174,12.081710916574435,19.0,14.01457999225174,12.081710916574435
118,36.78481,422.8564562903004,0.0,0.0,0.0,0.0,19.0,14.004373997675522,12.032684366629773,19.0,14.004373997675522,12.032684366629773
119,34.0,415.03866065373546,0.0,0.0,0.0,0.0,19.0,14.001312199302657,12.013073746651909,19.0,14.001312199302657,12.013073746651909
120,33.18291,415.82063894086093,0.0,0.0,0.0,0.0,19.0,14.000393659790795,12.005229498660764,19.0,14.000393659790795,12.005229498660764
121,32.53789,381.8122509041052,0.0,0.0,0.0,0.0,19.0,14.000118097937237,12.002091799464306,19.0,14.000118097937237,12.002091799464306
122,32.54287,428.055886218722,0.0,0.0,0.0,0.0,19.0,14.000035429381171,12.000836719785722,19.0,14.000035429381171,12.000836719785722
123,32.52198,371.9629787441544,0.0,0.0,0.0,0.0,19.0,14.000010628814351,16.80033468791429,19.0,14.000010628814351,16.80033468791429
124,39.56591,411.7371418760054,0.0,0.0,0.0,0.0,19.0,14.000003188644303,13.920133875165716,19.0,14.000003188644303,13.920133875165716
125,37.22053,439.72349923964,0.93352649096,46.676324548,0.0,0.0,19.0,18.200000956593293,12.768053550066286,19.0,18.200000956593293,12.768053550066286
126,40.0,325.8256844516695,12.421599178024769,621.0799589012385,40.0,0.0,19.0,19.460000286977987,17.107221420026516,19.0,7.460000286977987,9.107221420026516
127,26.31752,305.9918350670274,18.892153627758447,944.6076813879224,40.0,0.0,19.0,19.838000086093395,18.842888568010608,19.0,7.838000086093395,10.842888568010608
128,29.62368,238.84251147021158,20.0,1863.922479109261,40.0,0.0,19.0,19.95140002582802,19.537155427204244,19.0,7.951400025828018,11.537155427204244
129,26.62483,237.18035612867192,20.0,1745.102680266621,40.0,0.0,19.0,19.985420007748406,19.814862170881696,19.0,7.985420007748406,11.814862170881696
130,21.70842,260.28159295476013,20.0,1241.9081243496255,17.77777777777778,0.0,19.0,19.99562600232452,19.92594486835268,19.0,14.662292668991189,16.370389312797123
131,22.28583,293.2971881209296,20.0,1234.6984624496863,0.0,0.0,19.0,19.998687800697354,19.97037794734107,19.0,19.998687800697354,19.97037794734107
132,19.78,261.5216434622073,20.0,1339.326971012543,0.0,0.0,19.0,19.999606340209205,19.988151178936427,19.0,19.999606340209205,19.988151178936427
133,20.72932,285.55754044616884,20.0,1415.6661613828908,0.0,0.0,19.0,19.99988190206276,19.99526047157457,19.0,19.99988190206276,19.99526047157457
134,24.20799,249.96649209716648,20.0,1503.9861614200715,0.0,0.0,19.0,19.99996457061883,19.998104188629828,19.0,19.99996457061883,19.998104188629828
135,11.52302,307.8299847682737,20.0,1407.1479559429945,0.0,0.0,19.0,19.99998937118565,19.99924167545193,19.0,19.99998937118565,19.99924167545193
136,25.08836,297.3113802654193,19.884112223222573,994.2056111611286,0.0,0.0,19.0,19.999996811355693,19.99969667018077,19.0,19.999996811355693,19.99969667018077
137,31.17808,389.3031752727588,0.9723656746695779,48.6182837334789,0.0,40.0,19.0,19.999999043406707,15.199878668072309,19.0,22.0,22.0
138,39.77186,416.2703443473934,0.0,0.0,0.0,40.0,19.0,15.799999713022011,13.279951467228923,19.0,22.0,21.279951467228923
139,40.35818,375.3827136713209,0.0,0.0,0.0,40.0,19.0,14.539999913906602,17.31198058689157,19.0,22.0,22.0
140,40.09941,404.5491986920826,0.0,0.0,0.0,40.0,19.0,14.16199997417198,14.124792234756626,19.0,22.0,22.0
141,38.73992,426.14285508564853,0.0,0.0,0.0,0.0,19.0,14.048599992251592,12.84991689390265,19.0,14.048599992251592,12.84991689390265
142,38.63909,367.85033530877547,0.0,0.0,0.0,0.0,19.0,14.014579997675476,17.139966757561062,19.0,14.014579997675476,17.139966757561062
143,46.6295,403.6926771706461,0.0,0.0,0.0,0.0,19.0,14.004373999302642,14.055986703024423,19.0,14.004373999302642,14.055986703024423
144,46.00609,404.83107710649415,0.083760008,4.1880004,0.0,0.0,19.0,14.001312199790792,12.822394681209769,19.0,14.001312199790792,12.822394681209769
145,42.8153,415.6364574355462,0.0,0.0,0.0,0.0,19.0,14.000393659937236,12.328957872483908,19.0,14.000393659937236,12.328957872483908
146,42.83,375.26098578243835,0.0,0.0,0.0,0.0,19.0,14.000118097981169,16.931583148993564,19.0,14.000118097981169,16.931583148993564
147,43.40102,373.5908677383145,0.0,0.0,0.0,0.0,19.0,14.000035429394348,18.772633259597427,19.0,14.000035429394348,18.772633259597427
148,45.60972,410.4388313123379,0.0,0.0,0.0,0.0,19.0,14.000010628818302,14.70905330383897,19.0,14.000010628818302,14.70905330383897
149,45.97787,402.3921008363092,0.8105935323600001,40.529676618,0.0,0.0,19.0,18.20000318864549,13.083621321535588,19.0,18.20000318864549,13.083621321535588
150,39.01543,362.05648625750655,9.814465236016535,490.7232618008267,40.0,0.0,19.0,19.460000956593646,17.233448528614236,19.0,7.460000956593646,9.233448528614236
151,27.45697,336.5473554919439,16.08157496768444,804.078748384222,40.0,0.0,19.0,19.838000286978094,18.893379411445693,19.0,7.838000286978094,10.893379411445693
152,30.88039,293.9731291074751,20.0,1055.9304692978726,40.0,0.0,19.0,19.95140008609343,19.55735176457828,19.0,7.951400086093429,11.557351764578279
153,28.62759,292.9439420103407,20.0,1276.136025010301,40.0,0.0,19.0,19.985420025828027,19.82294070583131,19.0,7.985420025828027,11.82294070583131
154,22.67792,284.1574297346951,20.0,1390.4145936585007,17.77777777777778,0.0,19.0,19.995626007748406,19.929176282332524,19.0,14.662292674415074,16.373620726776966
155,23.59454,280.67884233991236,20.0,1199.9684688540256,0.0,0.0,19.0,19.998687802324522,19.97167051293301,19.0,19.998687802324522,19.97167051293301
156,18.2,317.5822293451541,20.0,1367.8995454572123,0.0,0.0,19.0,19.999606340697355,19.988668205173205,19.0,19.999606340697355,19.988668205173205
157,20.02,280.46098766901514,20.0,1473.9469724700757,0.0,0.0,19.0,19.999881902209207,19.99546728206928,19.0,19.999881902209207,19.99546728206928
158,19.11441,251.26771302269856,20.0,1426.9982814468224,0.0,0.0,19.0,19.999964570662762,19.998186912827713,19.0,19.999964570662762,19.998186912827713
159,31.481,320.31110576710626,20.0,1060.427060323531,0.0,0.0,19.0,19.99998937119883,19.999274765131084,19.0,19.99998937119883,19.999274765131084
160,31.59567,324.8162712730511,12.724694127518767,636.2347063759383,0.0,0.0,19.0,19.999996811359647,19.999709906052434,19.0,19.999996811359647,19.999709906052434
161,36.62649,413.7652947443658,0.4515893061279578,22.57946530639789,0.0,40.0,19.0,19.999999043407893,15.199883962420973,19.0,22.0,22.0
162,41.99397,423.1719115801481,0.0,0.0,0.0,40.0,19.0,15.799999713022366,13.27995358496839,19.0,22.0,21.27995358496839
163,48.35025,383.58635363296577,0.0,0.0,0.0,40.0,19.0,14.539999913906708,12.511981433987355,19.0,22.0,20.511981433987355
164,42.47493,419.2675225848864,0.0,0.0,0.0,40.0,19.0,14.161999974172012,12.204792573594942,19.0,22.0,20.204792573594943
165,40.1528,408.25561853872995,0.0,0.0,0.0,0.0,19.0,14.048599992251603,12.081917029437976,19.0,14.048599992251603,12.081917029437976
166,40.45991,416.4412031998898,0.0,0.0,0.0,0.0,19.0,14.01457999767548,12.03276681177519,19.0,14.01457999767548,12.03276681177519
167,35.50362,437.935859653079,0.0,0.0,0.0,0.0,19.0,14.004373999302643,12.013106724710076,19.0,14.004373999302643,12.013106724710076
