Date,Reason,Curtailment (MWh)
2024-04-07,Local,58117.25324393565
2024-04-07,System,808.5719351715911
2024-04-08,Local,36599.41438741209
2024-04-08,System,139.36479699537966
2024-04-09,Local,50682.86116846117
2024-04-09,System,551.9490235510262
2024-04-10,Local,26321.876010300683
2024-04-10,System,314.00489151749997
2024-04-11,Local,15924.948241232512
2024-04-11,System,1.6268792717454565
2024-04-12,Local,18976.196712841764
2024-04-12,System,131.12704691416667
2024-04-13,Local,15858.007123521991
2024-04-13,System,32.458885374916655
2024-04-14,Local,11693.103732865493
2024-04-14,System,1.3579169716666666
2024-04-15,Local,34231.307663977794
2024-04-15,System,107.55984896050738
2024-04-16,Local,34322.07732485769
2024-04-16,System,135.32581346458332
2024-04-17,Local,24558.21906875997
2024-04-17,System,8.231975357500007
2024-04-18,Local,8510.508323922972
2024-04-18,System,18.364324383333674
2024-04-19,Local,19266.48115163652
2024-04-19,System,17.577178138333334
2024-04-20,Local,16730.25654650184
2024-04-20,System,4819.735168419208
2024-04-21,Local,23497.246015504854
2024-04-21,System,1049.1528794507083
2024-04-22,Local,14137.353481595364
2024-04-22,System,195.80833166666665
2024-04-23,Local,14606.91151049029
2024-04-23,System,285.1391679125
2024-04-24,Local,18546.343892884397
2024-04-24,System,52.69131675152402
2024-04-25,Local,16738.821016180125
2024-04-25,System,75.22656116054792
2024-04-26,Local,10547.269654744281
2024-04-26,System,78.33277890916666
2024-04-27,Local,41302.39111327456
2024-04-27,System,3400.6248397723643
2024-04-28,Local,46118.02408522585
2024-04-28,System,1622.1581323180376
2024-04-29,Local,15669.168733300767
2024-04-29,System,8198.655718204873
2024-04-30,Local,11219.614669710161
2024-04-30,System,2420.9415275994243
2024-05-01,Local,13080.174964468497
2024-05-01,System,6933.2865502297345
2024-05-02,Local,10806.834344194342
2024-05-02,System,519.3282880053575
2024-05-03,Local,14583.232123690617
2024-05-04,Local,3010.9740447378913
2024-05-04,System,1.6825006241666658
2024-05-05,Local,41214.75570581993
2024-05-05,System,4744.383842783243
2024-05-06,Local,13950.733825930482
2024-05-06,System,21864.21284993585
2024-05-07,Local,17519.620659496497
2024-05-07,System,31869.286003801546
2024-05-08,Local,30314.197682619742
2024-05-08,System,1962.3092523814964
2024-05-09,Local,11545.780625268973
2024-05-09,System,52.31916676166666
2024-05-10,Local,6228.657763092966
2024-05-10,System,102.7537535337253
2024-05-11,Local,18035.549037466142
2024-05-11,System,12.522862786666666
2024-05-12,Local,23636.25008892256
2024-05-12,System,165.66282427199317
2024-05-13,Local,7266.088378541039
2024-05-13,System,104.17152279168982
2024-05-14,Local,7327.845131315583
2024-05-14,System,51.25885640833333
2024-05-15,Local,1980.5485287009558
2024-05-15,System,24.014042029162347
2024-05-16,Local,8212.085100853468
2024-05-16,System,4358.794431400442
2024-05-17,Local,20022.54210463147
2024-05-17,System,3703.1654309155037
2024-05-18,Local,23559.72507596713
2024-05-18,System,4504.405380185013
2024-05-19,Local,40266.14006766373
2024-05-19,System,17703.071523561935
2024-05-20,Local,12211.012224251612
2024-05-20,System,660.1981242237259
2024-05-21,Local,30946.99593892799
2024-05-21,System,44.743664552020256
2024-05-22,Local,25686.687859682526
2024-05-22,System,789.5683999000083
2024-05-23,Local,28947.567034657925
2024-05-23,System,577.4149310828941
2024-05-24,Local,15043.272113346678
2024-05-24,System,345.11972891124014
2024-05-25,Local,39918.42634105252
2024-05-25,System,3173.860315513456
2024-05-26,Local,52434.718925111054
2024-05-26,System,914.0084754657227
2024-05-27,Local,24606.548182919272
2024-05-27,System,99.47925382606998
2024-05-28,Local,7225.4578877659815
2024-05-28,System,218.07521247917816
2024-05-29,Local,8689.17529918041
2024-05-29,System,5828.9861087910485
2024-05-30,Local,11431.473461190457
2024-05-30,System,293.6886549450229
2024-05-31,Local,13788.056087919558
2024-05-31,System,159.13929317589688
2024-06-01,Local,27112.587089015004
2024-06-01,System,1225.5240322748593
2024-06-02,Local,26604.77227910754
2024-06-02,System,11553.497346945513
2024-06-03,Local,5394.92481496727
2024-06-03,System,952.4598755964423
2024-06-04,Local,3296.599588931967
2024-06-04,System,4597.865108877754
2024-06-05,Local,5233.013015114835
2024-06-05,System,3023.655406008776
2024-06-06,Local,2840.080370924686
2024-06-06,System,595.3354349865009
2024-06-07,Local,6441.3802131801285
2024-06-07,System,231.24116669416665
2024-06-08,Local,3997.127983872734
2024-06-08,System,1290.9293817477924
2024-06-09,Local,11214.506627392611
2024-06-09,System,7125.606783973883
2024-06-10,Local,3253.70480227516
2024-06-10,System,1461.5896734525
2024-06-11,Local,2777.941639687785
2024-06-11,System,1342.7683592169824
2024-06-12,Local,4663.280322955289
2024-06-12,System,798.6983161678945
2024-06-13,Local,5278.8208770860565
2024-06-13,System,88.17304536376363
2024-06-14,Local,1558.5341758729505
2024-06-14,System,1072.425765933756
2024-06-15,Local,5465.520792064294
2024-06-15,System,3703.711645883345
2024-06-16,Local,9587.607663888664
2024-06-16,System,8238.773367387605
2024-06-17,Local,11033.107080229496
2024-06-17,System,5210.315528518615
2024-06-18,Local,8224.623612171767
2024-06-18,System,2599.5367016433593
2024-06-19,Local,5526.771073541883
2024-06-19,System,3752.47502795721
2024-06-20,Local,3939.046726433793
2024-06-20,System,1203.448859605
2024-06-21,Local,2146.3158709420677
2024-06-21,System,935.6695413087792
2024-06-22,Local,1683.6444999016862
2024-06-22,System,93.31220222340083
2024-06-23,Local,1528.108266220874
2024-06-23,System,41.33136826388875
2024-06-24,Local,1045.0595897194353
2024-06-24,System,408.16458868308376
2024-06-25,Local,1489.3065688066442
2024-06-25,System,265.9785877228048
2024-06-26,Local,2094.4872891640975
2024-06-26,System,635.4032676132441
2024-06-27,Local,3261.3942416715618
2024-06-27,System,2699.7719888513247
2024-06-28,Local,3546.757260514661
2024-06-28,System,2744.2889456714474
2024-06-29,Local,3823.91477338643
2024-06-29,System,282.9144316756821
2024-06-30,Local,3889.564093783705
2024-06-30,System,1676.2824827938718
2024-07-01,Local,2879.7432675282002
